Labels,Latitude,Longitude,Capacity
ParkingVelo542,48.8490524,2.3810414,14
ParkingVelo543,48.8491953,2.3781151,16
ParkingVelo544,48.8498143,2.3768824,12
ParkingVelo545,48.8500458,2.3791906,20
ParkingVelo546,48.8520364,2.3739698,16
ParkingVelo547,48.8545658,2.3714569,16
ParkingVelo548,48.854579,2.3729066,8
ParkingVelo549,48.8546657,2.3710379,4
ParkingVelo550,48.8550768,2.3704854,6
ParkingVelo551,48.8574064,2.3613257,12
ParkingVelo552,48.8577618,2.3609004,28
ParkingVelo553,48.8618666,2.3539049,20
ParkingVelo554,48.8645997,2.3531635,40
ParkingVelo555,48.8700486,2.3506427,10
ParkingVelo556,48.8737465,2.3479475,8
ParkingVelo557,48.8738824,2.3447097,10
ParkingVelo558,48.8790763,2.3536823,12
ParkingVelo559,48.8797539,2.3528227,12
ParkingVelo560,48.8876916,2.3494672,12
ParkingVelo561,48.8879062,2.3494694,4
ParkingVelo562,48.8909494,2.3495013,16
ParkingVelo563,48.8714886,2.4045123,14
ParkingVelo564,48.8763311,2.4063198,18
ParkingVelo565,48.8763815,2.4061576,10
ParkingVelo566,48.8776794,2.4064877,14
ParkingVelo567,48.8779211,2.4059867,20
ParkingVelo568,48.878265,2.4058287,6
ParkingVelo569,48.8521567,2.3677427,12
ParkingVelo570,48.8242765,2.3764777,16
ParkingVelo571,48.8243425,2.3766748,16
ParkingVelo572,48.8259666,2.3538937,12
ParkingVelo573,48.8333633,2.3991726,14
ParkingVelo574,48.8378565,2.3573576,12
ParkingVelo575,48.836692,2.3580997,8
ParkingVelo576,48.8370348,2.357858,8
ParkingVelo577,48.8469308,2.399333,6
ParkingVelo578,48.8490619,2.3989535,20
ParkingVelo579,48.8563849,2.3940578,24
ParkingVelo580,48.8572787,2.3855041,10
ParkingVelo581,48.8572995,2.3855773,10
ParkingVelo582,48.8576501,2.3919758,8
ParkingVelo583,48.8594293,2.3870352,20
ParkingVelo584,48.828149,2.3734721,26
ParkingVelo585,48.8468111,2.4104227,8
ParkingVelo586,48.8468304,2.4101981,8
ParkingVelo587,48.8468374,2.4101238,8
ParkingVelo588,48.8471272,2.4072697,8
ParkingVelo589,48.8471707,2.4067728,10
ParkingVelo590,48.851364,2.4062328,6
ParkingVelo591,48.8516877,2.4071107,10
ParkingVelo592,48.8665561,2.3242991,10
ParkingVelo593,48.8939916,2.3328509,8
ParkingVelo594,48.8949758,2.3600424,11
ParkingVelo595,48.8911753,2.3632958,10
ParkingVelo596,48.8394823,2.3713834,10
ParkingVelo597,48.8390434,2.3716821,20
ParkingVelo598,48.837888,2.3555889,8
ParkingVelo599,48.8240339,2.3233931,12
ParkingVelo600,48.8275078,2.3261249,16
ParkingVelo601,48.8294949,2.3482327,14
ParkingVelo602,48.8296588,2.3329134,12
ParkingVelo603,48.8296874,2.3480152,24
ParkingVelo604,48.8300287,2.3471023,10
ParkingVelo605,48.8306228,2.3439188,8
ParkingVelo606,48.8306805,2.3362892,10
ParkingVelo607,48.8308783,2.3552816,40
ParkingVelo608,48.830956,2.3563123,10
ParkingVelo609,48.8337132,2.3652606,20
ParkingVelo610,48.834348,2.3671238,24
ParkingVelo611,48.8349671,2.3690393,12
ParkingVelo612,48.8372696,2.3742188,30
ParkingVelo613,48.8389558,2.3876942,20
